Results Table 1
,Maximum Load
,(lbf)
"1","980.72"

Time,Elongation,Load
(s),(in),(lbf)
"0.0000","0.0060","10.0814"
"0.0200","0.0064","10.9014"
"0.0400","0.0066","11.5404"
"0.0600","0.0068","11.8467"
"0.0800","0.0068","11.8518"
"0.1000","0.0068","11.8161"
"0.1200","0.0068","11.8118"
"0.1400","0.0068","11.8509"
"0.1600","0.0068","11.9949"
"0.1800","0.0069","12.1995"
"0.2000","0.0070","12.4051"
"0.2200","0.0071","12.6178"
"0.2400","0.0071","12.8057"
"0.2600","0.0072","13.0047"
"0.2800","0.0073","13.1886"
"0.3000","0.0073","13.3685"
"0.3200","0.0074","13.5434"
"0.3400","0.0075","13.7322"
"0.3600","0.0075","13.9349"
"0.3800","0.0076","14.1411"
"0.4000","0.0077","14.3203"
"0.4200","0.0077","14.5234"
"0.4400","0.0078","14.7198"
"0.4600","0.0079","14.9139"
"0.4800","0.0079","15.1327"
"0.5000","0.0080","15.3396"
"0.5200","0.0081","15.5319"
"0.5400","0.0081","15.7377"
"0.5600","0.0082","15.9427"
"0.5800","0.0083","16.1661"
"0.6000","0.0083","16.4021"
"0.6200","0.0084","16.6219"
"0.6400","0.0085","16.8270"
"0.6600","0.0085","17.0540"
"0.6800","0.0086","17.2738"
"0.7000","0.0087","17.4792"
"0.7200","0.0087","17.7029"
"0.7400","0.0088","17.9618"
"0.7600","0.0089","18.2093"
"0.7800","0.0089","18.4330"
"0.8000","0.0090","18.6720"
"0.8200","0.0091","18.9172"
"0.8400","0.0091","19.1652"
"0.8600","0.0092","19.4263"
"0.8800","0.0093","19.6890"
"0.9000","0.0093","19.9479"
"0.9200","0.0094","20.1944"
"0.9400","0.0095","20.4183"
"0.9600","0.0095","20.6624"
"0.9800","0.0096","20.9211"
"1.0000","0.0097","21.2306"
"1.0200","0.0097","21.5372"
"1.0400","0.0098","21.8248"
"1.0600","0.0099","22.0833"
"1.0800","0.0099","22.3426"
"1.1000","0.0100","22.5847"
"1.1200","0.0101","22.8729"
"1.1400","0.0101","23.1878"
"1.1600","0.0102","23.4925"
"1.1800","0.0103","23.7815"
"1.2000","0.0103","24.0744"
"1.2200","0.0104","24.3837"
"1.2400","0.0105","24.6861"
"1.2600","0.0105","25.0003"
"1.2800","0.0106","25.3311"
"1.3000","0.0107","25.6489"
"1.3200","0.0107","25.9642"
"1.3400","0.0108","26.2909"
"1.3600","0.0109","26.5902"
"1.3800","0.0109","26.8882"
"1.4000","0.0110","27.2448"
"1.4200","0.0111","27.6303"
"1.4400","0.0111","27.9910"
"1.4600","0.0112","28.3319"
"1.4800","0.0113","28.6632"
"1.5000","0.0113","28.9950"
"1.5200","0.0114","29.3653"
"1.5400","0.0115","29.7628"
"1.5600","0.0115","30.1521"
"1.5800","0.0116","30.5088"
"1.6000","0.0117","30.8691"
"1.6200","0.0117","31.2252"
"1.6400","0.0118","31.6078"
"1.6600","0.0119","32.0107"
"1.6800","0.0119","32.4305"
"1.7000","0.0120","32.8256"
"1.7200","0.0121","33.2168"
"1.7400","0.0121","33.6142"
"1.7600","0.0122","34.0108"
"1.7800","0.0123","34.4143"
"1.8000","0.0123","34.8422"
"1.8200","0.0124","35.3067"
"1.8400","0.0125","35.7514"
"1.8600","0.0125","36.1981"
"1.8800","0.0126","36.6442"
"1.9000","0.0127","37.0423"
