angle(deg),Cp
0,1
5,0.978680416087683
10,0.918797526503192
15,0.798922788643006
20,0.631897186040911
25,0.434875659300969
30,0.250703187108976
35,0.0108366816832368
40,-0.186192916070869
45,-0.370357317248698
50,-0.545954336892202
55,-0.712979939494297
60,-0.837140385875187
65,-0.931312979132393
70,-0.982628487182557
75,-0.978217677942321
80,-0.926668110481423
85,-0.857983779951869
90,-0.802148503970266
95,-0.746309192481581
100,-0.699049369048468
105,-0.698936374850182
110,-0.685950113061456
115,-0.694404500397497
120,-0.685716053650721
125,-0.681305244410486
130,-0.689763667253608
135,-0.693928310561863
140,-0.689533643349955
145,-0.693682144629883
150,-0.689287477417975
155,-0.693452120726229
160,-0.684763673979454
165,-0.684642608767004
170,-0.693092960595963
175,-0.688674080341565
180,-0.697148645213014
