# Exp data from Nakayama
# y is in inches (airfoil chord=24 inches); to get y/c use y/24
# u is u/Uinf
# v is v/Uinf 
# uu is u'u'/Uinf**2
# vv is v'v'/Uinf**2
# -uv is -u'v'/Uinf**2 (the negative of u'v'/Uinf**2)
variables="index","y","u","v","uu","vv","-uv"
zone, t="x/c=1.20"
     1   -1.0000  0.9790E+00 -0.1000E-02  0.1000E-04  0.1000E-04  0.0000E+00
     2   -0.9900  0.9800E+00  0.0000E+00  0.1000E-04  0.1000E-04  0.0000E+00
     3   -0.9000  0.9770E+00  0.1000E-02  0.2000E-04  0.3000E-04  0.0000E+00
     4   -0.8000  0.9770E+00 -0.1000E-02  0.5000E-04  0.6000E-04  0.0000E+00
     5   -0.7000  0.9740E+00 -0.1000E-02  0.1900E-03  0.2200E-03 -0.2000E-04
     6   -0.6000  0.9550E+00 -0.2000E-02  0.1000E-02  0.6500E-03 -0.3900E-03
     7   -0.5000  0.9080E+00  0.0000E+00  0.2730E-02  0.1380E-02 -0.1020E-02
     8   -0.4000  0.8480E+00 -0.2000E-02  0.4170E-02  0.1970E-02 -0.1600E-02
     9   -0.3500  0.8180E+00 -0.2000E-02  0.4540E-02  0.2150E-02 -0.1690E-02
    10   -0.3000  0.7830E+00 -0.4000E-02  0.4440E-02  0.2240E-02 -0.1710E-02
    11   -0.2500  0.7500E+00 -0.4000E-02  0.4210E-02  0.2200E-02 -0.1560E-02
    12   -0.2000  0.7220E+00 -0.5000E-02  0.3540E-02  0.2060E-02 -0.1210E-02
    13   -0.1500  0.7000E+00 -0.9000E-02  0.2780E-02  0.1920E-02 -0.7300E-03
    14   -0.1250  0.6940E+00 -0.1000E-01  0.2510E-02  0.1890E-02 -0.4600E-03
    15   -0.1000  0.6890E+00 -0.1200E-01  0.2400E-02  0.1850E-02 -0.1900E-03
    16   -0.0750  0.6890E+00 -0.1200E-01  0.2400E-02  0.1850E-02  0.1100E-03
    17   -0.0500  0.6910E+00 -0.1200E-01  0.2530E-02  0.1900E-02  0.3600E-03
    18    0.0000  0.7030E+00 -0.1500E-01  0.3150E-02  0.2000E-02  0.9000E-03
    19    0.0500  0.7250E+00 -0.1600E-01  0.3880E-02  0.2150E-02  0.1320E-02
    20    0.1000  0.7550E+00 -0.1900E-01  0.4470E-02  0.2310E-02  0.1610E-02
    21    0.1500  0.7840E+00 -0.1800E-01  0.4770E-02  0.2350E-02  0.1760E-02
    22    0.2000  0.8170E+00 -0.2000E-01  0.4880E-02  0.2310E-02  0.1810E-02
    23    0.2500  0.8530E+00 -0.2000E-01  0.4480E-02  0.2210E-02  0.1710E-02
