y(m),u(m/s)
0.00010593,5.8149167
0.00011228,6.19883835
0.00012212,6.59274921
0.00013228,7.00971263
0.00014212,7.37325476
0.00015228,7.72030215
0.00016212,8.0023945
0.00017228,8.33634544
0.00018244,8.63682002
0.00019324,8.91948689
0.0002034,9.16469596
0.00022356,9.62866111
0.00024356,10.05319648
0.00026356,10.38697719
0.00028357,10.71447821
0.00030357,10.9919608
0.00033659,11.39809189
0.00037183,11.79512676
0.00041787,12.23810941
0.00047121,12.57563614
0.00056328,12.98057981
0.00065822,13.42042063
0.00076426,13.75504341
0.00086237,14.04813911
0.00096556,14.32728818
0.0010697,14.54085539
0.00127353,14.90372905
0.00147133,15.25947273
0.00167485,15.54922415
0.00207839,16.08325308
0.00258385,16.59019606
0.00309217,17.02996459
0.00358938,17.36456522
0.00409198,17.72694467
0.00510671,18.31086141
0.00611382,18.82071001
0.00711648,19.27921885
0.00812709,19.72686686
0.00913039,20.06321613
0.0101394,20.46032408
0.01215521,21.17448245
0.01416721,21.81135562
0.01617889,22.3867772
0.01819374,22.95596326
0.02020955,23.44971579
0.02222282,23.89121611
0.02423481,24.24949432
0.02624713,24.57220072
0.02825913,24.78542413
0.0302743,24.89577513
0.03228884,24.95253173
0.0343021,24.97377344
0.03631505,24.99401321
0.03832705,24.99822608
0.04033968,25.00330503
0.04336133,24.99091786
0.04638298,24.99151334
0.04940304,25.00314604

y(m),u(m/s)
0.000153,2.336137
0.000163,2.478529
0.000173,2.647332
0.000184,2.790982
0.000194,2.921773
0.000214,3.199299
0.000234,3.449884
0.000254,3.67395
0.000274,3.868357
0.000294,4.103102
0.000318,4.380844
0.000359,4.681588
0.000412,5.046959
0.000463,5.287548
0.000552,5.665609
0.00065,6.03346
0.000747,6.288111
0.000845,6.484909
0.000946,6.688409
0.001047,6.794442
0.00126,7.081362
0.001449,7.228796
0.001652,7.403363
0.002061,7.652209
0.002568,7.904325
0.003072,8.141128
0.003572,8.324136
0.004073,8.467478
0.005089,8.788064
0.006091,9.062971
0.007099,9.303
0.008108,9.532504
0.00911,9.740743
0.010122,9.94371
0.012136,10.31753
0.014147,10.64206
0.016159,10.9488
0.018173,11.22918
0.020189,11.48478
0.022203,11.71475
0.024216,11.87681
0.026227,11.98517
0.028239,12.0348
0.030254,12.05935
0.032269,12.07175
0.034283,12.07256
0.036296,12.06779
0.038308,12.07073
0.040321,12.07225
0.043342,12.06899
