"Points:0","Points:1","Points:2","U:0","U:1","U:2","alphaPorosity","arc_length","fvSource:0","fvSource:1","fvSource:2","nuTilda","nut","p"
0.99680853,0.0017068746,0.050000001,0,0,0,0,0,0,0,0,1e-16,3.5661291e-05,23.960236
0.99882686,0.001424464,0.050000001,0,0,0,0,0.0020379945,0,0,0,1e-16,3.1902673e-05,23.357443
0.99882686,0.00071223202,0.050000001,0,0,0,0,0.0027502266,0,0,0,1e-16,2.7537088e-05,24.053947
0.99882686,-1.1883852e-39,0.050000001,0,0,0,0,0.0034624586,0,0,0,1e-16,2.9197548e-05,25.195217
0.99882686,-0.00071223202,0.050000001,0,0,0,0,0.0041746906,0,0,0,1e-16,3.7503738e-05,21.008163
0.99882686,-0.001424464,0.050000001,0,0,0,0,0.0048869226,0,0,0,1e-16,4.3317137e-05,19.424706
0.99680853,-0.0017068746,0.050000001,0,0,0,0,0.0069249172,0,0,0,1e-16,4.7704463e-05,20.980103
0.99438643,-0.0020449201,0.050000001,0,0,0,0,0.0093704878,0,0,0,1e-16,5.3550088e-05,20.746334
0.99147975,-0.0024492156,0.050000001,0,0,0,0,0.01230515,0,0,0,1e-16,5.8388741e-05,20.661964
0.98799139,-0.0029324901,0.050000001,0,0,0,0,0.015826829,0,0,0,1e-16,6.1776154e-05,20.066694
0.98380506,-0.0035097513,0.050000001,0,0,0,0,0.020052774,0,0,0,1e-16,6.4310385e-05,19.187366
0.97878093,-0.0041986606,0.050000001,0,0,0,0,0.025123921,0,0,0,1e-16,6.6187713e-05,18.087456
0.9727512,-0.0050199544,0.050000001,0,0,0,0,0.031209322,0,0,0,1e-16,6.7694076e-05,16.769794
0.96551448,-0.0059977472,0.050000001,0,0,0,0,0.0385118,0,0,0,1e-16,6.8745401e-05,15.292414
0.95682895,-0.007160149,0.050000001,0,0,0,0,0.047274767,0,0,0,1e-16,6.9661954e-05,13.679523
0.94640428,-0.0085393777,0.050000001,0,0,0,0,0.057790284,0,0,0,1e-16,7.016024e-05,11.871401
0.93389177,-0.010172534,0.050000001,0,0,0,0,0.07040892,0,0,0,1e-16,7.0439652e-05,10.002669
0.91887265,-0.012101175,0.050000001,0,0,0,0,0.085551363,0,0,0,1e-16,7.0605631e-05,8.0757113
0.90084428,-0.014371977,0.050000001,0,0,0,0,0.10372219,0,0,0,1e-16,7.1056566e-05,6.0701761
0.88011336,-0.01692494,0.050000001,0,0,0,0,0.12460971,0,0,0,1e-16,7.2019509e-05,4.0399504
0.85937524,-0.019418105,0.050000001,0,0,0,0,0.14549716,0,0,0,1e-16,7.3320778e-05,2.1493785
0.83863014,-0.021852652,0.050000001,0,0,0,0,0.16638462,0,0,0,1e-16,7.4664029e-05,0.45467067
